single_words,unicode
a,10241
but,10243
can,10249
do,10265
every,10257
from,10251
go,10267
have,10259
I,10250
just,10266
knowledge,10245
like ,10247
more ,10253
not,10269
O,10261
people,10255
quite,10271
rather,10263
so ,10254
that,10270
us,10277
very,10279
will,10298
it,10285
you,10301
as,10293
child,10273
shall,10281
this,10297
which,10289
out,10291
to,10262
still,10252
